[2023-12-05 12:57:40,837: INFO: main: Custom log]
[2023-12-06 13:47:29,675: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-06 13:47:29,681: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-06 13:47:29,683: INFO: common: created directory at: artifacts]
[2023-12-06 13:47:29,684: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-06 13:47:29,686: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1IgitLu2l1QMW77SF7JFcHNZdDaO8SBIP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-06 13:47:48,693: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1IgitLu2l1QMW77SF7JFcHNZdDaO8SBIP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-06 14:04:51,253: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-06 14:04:51,255: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-06 14:04:51,256: INFO: common: created directory at: artifacts]
[2023-12-06 14:04:51,257: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-06 14:04:51,259: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-06 14:04:57,543: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 12:47:07,545: INFO: main: ******** Stage  :  Data Ingestion by pintu  Started ********]
[2023-12-07 12:47:07,547: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-07 12:47:07,551: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-07 12:47:07,551: INFO: common: created directory at: artifacts]
[2023-12-07 12:47:07,551: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-07 12:47:07,551: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 12:47:17,744: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 12:47:19,268: INFO: main: ******** Stage  :  Data Ingestion by pintu  Completed ********]
[2023-12-07 12:59:29,704: INFO: main: ******** Stage  :  Data Ingestion  (Started) ********]
[2023-12-07 12:59:29,719: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-07 12:59:29,719: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-07 12:59:29,719: INFO: common: created directory at: artifacts]
[2023-12-07 12:59:29,719: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-07 12:59:29,719: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 12:59:35,328: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 12:59:36,881: INFO: main: ******** Stage  :  Data Ingestion  (Completed) ********]
[2023-12-07 13:00:36,045: INFO: main: ******** Stage  =>  Data Ingestion  (Started) ********]
[2023-12-07 13:00:36,045: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-07 13:00:36,045: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-07 13:00:36,045: INFO: common: created directory at: artifacts]
[2023-12-07 13:00:36,045: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-07 13:00:36,045: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 13:00:47,143: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1xmoaroF6Oj9VwtFqXeAwZbzP5THEUjWR/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-07 13:00:48,463: INFO: main: ******** Stage  =>  Data Ingestion  (Completed) ********]
